Date (years),"CAR(-1, +1)","CAR(-2, +2)",CROSS,CASH,HORIZ,DSIZE,RSIZE,LEV,Acq_size
2013,0.0067402,0.008014,1,1,1,5.216467193058529,0.02003408409962402,0.6305942,9.12678744401504
2010,-0.002057,0.0273711,1,1,1,4.983154464706244,0.018238398694239932,0.2372528,8.98738055378201
2008,0.0118469,0.0205164,1,1,1,4.025958649355636,0.005796357854807618,0.2502121,9.176484164100042
2015,0.1425549,0.1640113,0,0,0,6.992568742328225,0.7332183729968947,0.0904946,7.302880447015983
2015,-0.002507,0.0052306,1,0,1,8.65780937751696,0.7197571474328549,0.4848978,8.986650796617973
2015,-0.329596,-0.362953,1,0,1,4.673875015995079,0.1349498624824717,0.5380811,6.676726974539496
2007,0.0246066,0.0352767,1,1,0,4.139939149780493,0.11128181682863036,0.4529423,6.335628554639542
2010,-0.074325,-0.05314,1,1,0,3.5144070122633804,0.023665287905598065,0.1838932,7.258152962079287
2012,-0.009379,-0.012944,1,0,0,1.9368694044031642,0.006708923438775391,0.4733396,6.941186186588938
2012,-0.116826,-0.15279,1,1,0,8.05249291450457,0.5468370272250818,0.5098004,8.656097374716893
