SIC,HORIZ,"CAR(-1, +1)","CAR(-2, +2)",CROSS,CASH,LEV,Acq_size,Deal Attitude,Deal Status,Percentage of Shares Acquired,Tar. Private,DSIZE,Date (years)
7370,0,-0.033282,-0.049355,0,1,0.5880412,1763.923,Friendly,Completed,100,Priv.,,2012
7370,0,0.0073915,0.007148,0,0,0.6112381,579.905,Friendly,Completed,100,Sub.,,2009
7370,0,0.0224875,0.0167671,1,0,0.5750446,994.516,Friendly,Completed,100,Priv.,,2011
7370,0,0.0278078,0.039312,1,1,0.6685068,1944.374,Friendly,Completed,100,Public,139.382,2013
7370,0,-0.002971,0.012385,1,0,0.6090824,1759.627,Friendly,Completed,100,Public,72.356,2013
7370,0,0.0242037,0.0097326,0,1,0.7081711,2132.544,Friendly,Completed,100,Sub.,,2014
7370,0,0.0765385,0.0566488,1,0,0.5683537,1105.42,Unsolic.,Completed,100,Public,386.359,2011
3559,0,-0.040529,-0.04116,1,1,0.6500506,241.904,Friendly,Completed,100,Priv.,,2012
7372,1,0.0862452,0.1069654,1,0,0.193699,49.948,Friendly,Completed,100,Priv.,,2006
3661,0,-0.276161,-0.261084,1,0,0.483066,2594.973,Friendly,Withdrawn,.,Public,1723.994,2006
3661,1,0.0053683,-0.049366,0,1,0.4235064,2328.917,Friendly,Completed,100,Priv.,,2007
3661,0,-0.013452,-0.008138,1,0,0.4235064,2277.216,Friendly,Completed,100,Priv.,,2007
5065,0,-0.057733,-0.064156,1,0,0.3238756,31.133,Friendly,Completed,100,Priv.,,2011
5065,0,-0.015328,-0.019015,1,0,0.3495587,53.855,Friendly,Pending,.,Priv.,,2006
5065,0,0.0969889,0.0875172,1,0,0.1165484,229.708,Friendly,Completed,100,Priv.,,2014
3661,0,0.020253,0.0023239,1,0,0.1666248,2741.723,Friendly,Completed,100,Priv.,,2011
3661,0,-0.07652,-0.08723,0,0,0.1704528,2135.021,Friendly,Completed,100,Sub.,,2011
3661,0,-0.029853,0.005378,0,0,0.2084497,1439.078,Friendly,Completed,100,Sub.,,2009
2834,0,-0.051517,-0.064767,1,0,0.0557578,38.811,Friendly,Completed,100,Priv.,,2011
8711,0,0.0058115,0.0876456,0,0,0.6119878,3226.627,Friendly,Completed,100,Priv.,,2014
8711,0,0.0268047,0.0369614,0,0,0.4784641,3344.386,Friendly,Completed,100,Priv.,,2007
8711,0,0.0149418,0.0442609,0,0,0.4960801,2696.695,Friendly,Completed,100,Priv.,,2010
8711,1,0.0724527,0.102799,1,1,0.4672657,2478.472,Friendly,Completed,100,Sub.,,2008
8711,0,0.0103444,0.0671455,1,0,0.4784641,3259.817,Friendly,Completed,100,Priv.,,2007
8711,0,0.0776806,0.0479704,1,0,0.5465364,2935.606,Friendly,Completed,100,Priv.,,2009
8711,0,-0.009406,0.0036888,1,0,0.6119878,3245.484,Friendly,Completed,100,Priv.,,2014
8711,1,-0.042027,-0.046478,0,0,0.5041267,3316.469,Friendly,Completed,100,Priv.,,2010
8711,0,0.0297309,0.0336937,0,0,0.5716296,1952.479,Friendly,Completed,100,Sub.,,2012
8711,0,0.0041826,0.0337405,1,1,0.4960801,2594.365,Friendly,Completed,100,Sub.,,2010
8711,1,-0.005005,-0.00481,0,0,0.4960801,2667.661,Friendly,Completed,100,Priv.,,2010
8711,0,-0.03775,0.0177442,0,0,0.5498035,2998.185,Friendly,Completed,100,Priv.,,2009
8711,0,-0.015884,-0.015892,1,0,0.4784641,2701.794,Friendly,Completed,100,Priv.,,2008
8711,0,0.0207308,0.0087808,0,0,0.5700003,3324.42,Friendly,Completed,100,Priv.,,2011
8711,1,0.0578747,0.0969531,0,0,0.4672657,2513.366,Friendly,Completed,100,Priv.,,2008
8711,1,-0.023239,0.0252051,0,0,0.4672657,2310.654,Friendly,Completed,100,Priv.,,2008
8711,1,-0.013235,-0.003145,0,0,0.4960801,2774.506,Friendly,Completed,100,Priv.,,2010
3081,1,-0.026037,0.0794219,1,1,0.8688782,113.219,Friendly,Completed,100,Sub.,,2008
