Date, Open, High, Low,Close
07/28/14,6791.55,6809.61,6761.77,6788.07
07/25/14,6821.46,6830.77,6780.65,6791.55
07/24/14,6798.15,6821.46,6767.33,6821.46
07/23/14,6795.34,6822.65,6773.11,6798.15
07/22/14,6728.44,6801.84,6728.44,6795.34
07/21/14,6749.45,6753.42,6715.78,6728.44
07/18/14,6738.32,6749.89,6690.9,6749.45
07/17/14,6784.67,6784.67,6727.71,6738.32
07/16/14,6710.45,6792.55,6710.45,6784.67
07/15/14,6746.14,6764,6709.15,6710.45
07/14/14,6690.17,6760.73,6690.17,6746.14
07/11/2014,6672.37,6696.1,6663.67,6690.17
07/10/2014,6718.04,6724.8,6643.62,6672.37
07/09/2014,6738.45,6740.82,6692.77,6718.04
07/08/2014,6823.51,6831.02,6738.45,6738.45
07/07/2014,6866.05,6866.37,6817.6,6823.51
07/04/2014,6865.21,6875.31,6856.35,6866.05
07/03/2014,6816.37,6866.56,6815.45,6865.21
07/02/2014,6802.92,6829.49,6796.61,6816.37
07/01/2014,6743.94,6805.9,6743.94,6802.92
06/30/14,6757.77,6777.11,6730.45,6743.94
06/27/14,6735.12,6767.63,6735.12,6757.77
06/26/14,6733.62,6753.25,6701.59,6735.12
06/25/14,6787.07,6787.07,6716.35,6733.62
06/24/14,6800.56,6824.45,6776.8,6787.07
06/23/14,6825.2,6829.76,6785.83,6800.56
06/20/14,6808.11,6840.62,6791.2,6825.2
06/19/14,6778.56,6837.57,6778.56,6808.11
06/18/14,6766.77,6799.59,6766.77,6778.56
06/17/14,6754.64,6774.87,6736.11,6766.77
06/16/14,6777.85,6779.4,6748.04,6754.64
06/13/14,6843.11,6843.11,6758.15,6777.85
06/12/2014,6838.87,6853.18,6827.03,6843.11
06/11/2014,6873.55,6873.55,6825.24,6838.87
06/10/2014,6875,6875.24,6835.8,6873.55
06/09/2014,6858.21,6878.96,6857.7,6875
06/06/2014,6813.49,6862.91,6813.49,6858.21
06/05/2014,6818.63,6847,6795.27,6813.49
06/04/2014,6836.3,6840.6,6800.1,6818.63
06/03/2014,6864.1,6865.38,6817.96,6836.3
06/02/2014,6844.51,6874.38,6844.51,6864.1
05/30/14,6871.29,6874.33,6831.99,6844.51
05/29/14,6851.22,6882.14,6848.06,6871.29
05/28/14,6844.94,6855.83,6833.61,6851.22
05/27/14,6815.75,6857.1,6815.37,6844.94
05/26/14,6815.75,6825.53,6793.47,6815.75
05/23/14,6820.56,6825.53,6793.47,6815.75
05/22/14,6821.04,6846.57,6810.19,6820.56
05/21/14,6802,6821.04,6782.8,6821.04
05/20/14,6844.55,6848.36,6792.51,6802
05/19/14,6855.81,6862.2,6804.31,6844.55
05/16/14,6840.89,6855.94,6813.5,6855.81
05/15/14,6878.49,6894.88,6821.66,6840.89
05/14/14,6873.08,6880.07,6854.02,6878.49
05/13/14,6851.75,6877.39,6845.95,6873.08
05/12/2014,6814.57,6851.75,6814.57,6851.75
05/09/2014,6839.25,6839.42,6805.39,6814.57
05/08/2014,6796.44,6840.37,6796.44,6839.25
05/07/2014,6798.56,6799.34,6766.84,6796.44
05/06/2014,6822.42,6828.62,6785.32,6798.56
05/05/2014,6822.42,6838.17,6798.61,6822.42
05/02/2014,6808.87,6838.17,6798.61,6822.42
05/01/2014,6780.03,6811.64,6773.69,6808.87
04/30/14,6769.91,6794.88,6748.76,6780.03
04/29/14,6700.16,6769.91,6700.1,6769.91
04/28/14,6685.69,6720.33,6682.9,6700.16
04/25/14,6703,6704.37,6657.3,6685.69
